kernel,accuracy,precision,recall,f1,auc
linear,1.0,1.0,1.0,1.0,1.0
rbf,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613,0.9966666666666666
poly,0.9,0.9230769230769231,0.9,0.89769820971867,0.9933333333333333
sigmoid,0.9,0.9230769230769231,0.9,0.89769820971867,0.9900000000000001
